//駒タイプ,攻撃力,HP,素早さ,移動範囲,type,range,target,area,multi,wall,height,TargetStates,
King,50,100,22,5,攻撃,10,単体,直線,2.0,0,0,例外,EOF
Queen,11,100,21,5,回復,5,全体,正方形,1.0,0,1,例外,EOF
Bishop,12,100,20,5,回復,5,全体,円,2.0,1,1,例外,EOF
Knight,13,100,19,5,攻撃,3,全体,前方正方形,1.0,0,1,例外,EOF
Rook,14,100,18,5,バフ,1,自身,例外,1.2,1,1,hp_max,EOF
Pawn,15,100,17,5,バフ,3,単体,円,1.1,1,1,speed,EOF
King,16,100,16,5,攻撃,8,単体,直線,3.0,0,0,例外,EOF
Queen,17,100,15,5,回復,3,全体,正方形,3.0,1,1,例外,EOF
Bishop,18,100,14,5,回復,3,全体,円,3.0,1,1,例外,EOF
Knight,18,100,13,5,攻撃,3,全体,十字,1.0,0,1,例外,EOF
Rook,19,100,12,5,バフ,1,自身,例外,1.2,1,1,power,EOF
Pawn,20,100,11,5,バフ,5,単体,円,1.1,1,1,power,EOF
